B_center,B_max,B_mean,B_min,B_std,B_vector_rms_rel,F_norm,F_ratio,F_rel_fine,F_vector_rel,Fmag,Fmag_point,Fmag_volume,Fz,Fz_point,Fz_volume,Nload,case,gap_mm,grad_rms_rel,model,n_elem,normal_ratio,omega,omega_crit_point,omega_crit_volume,quadrature,radius_mm,ratio,ratio_point,ratio_volume,record,regime,regime_point,regime_volume,seconds_per_sim_second,shift,tau_norm,tau_point,tau_ratio,tau_rel_fine,tau_vector_rel,tau_volume,time_point,time_volume,torque,vtan
,,,,,,,,,,,0.046831210420383525,0.061997644268977456,,-0.04555307794129041,-0.06007822599936663,,,10.0,,,,1.1265422877401872,5.0,,,,,,-0.30160537189348,-0.5649013885167095,comparison,,retrograde,retrograde,,,,2.9205234326370417e-05,,,,3.699856250880201e-05,0.37054366199299693,3.253152922989102,,
,,,,,,,,,,,0.043265366818676106,0.0402655350326785,,-0.0411936161731331,-0.03584916659179641,,,10.0,,,,0.9516012971724275,10.0,,,,,,-0.3437969701442179,-0.4808751762807148,comparison,,retrograde,retrograde,,,,5.029558498695525e-05,,,,3.906756259293196e-05,0.19321594201028347,3.5314046000130475,,
,,,,,,,,,,,0.022587611932224326,0.008823161704350423,,-0.019636650068857814,-0.00647326715061141,,,10.0,,,,0.8518779757272553,16.0,,,,,,-0.2620535768778079,-0.24437488846873237,comparison,,retrograde,retrograde,,,,3.9741259310265004e-05,,,,1.2621725303135561e-05,0.26657748498837464,3.3104770840145648,,
,,,,,,,,,,,0.008432701336847504,0.010580204872369317,,-0.00833673362351727,-0.010464950757660395,,,16.0,,,,1.0274365843445945,2.0,,,,,,-0.03128677618315318,-0.06554539118945267,comparison,,retrograde,retrograde,,,,2.9529061280202593e-06,,,,4.142876235642094e-06,0.17989356999169104,3.174265767011093,,
,,,,,,,,,,,0.008449345955310956,0.010631739683122672,,-0.008327011636970957,-0.010473559488563672,,,16.0,,,,1.0276763693785114,5.0,,,,,,-0.04715468251615617,-0.12130140822136774,comparison,,retrograde,retrograde,,,,7.310869367685126e-06,,,,9.976794229844998e-06,0.17271318100392818,2.7077706420095637,,
,,,,,,,,,,,0.008220335820232568,0.009630839359729134,,-0.00800741494878644,-0.009295472688711897,,,16.0,,,,1.0166762028534528,10.0,,,,,,-0.07387866633108175,-0.1406939811485845,comparison,,retrograde,retrograde,,,,1.37562968721962e-05,,,,1.7729966107172123e-05,0.17771145899314433,3.3662743069871794,,
,,,,,,,,,,,0.007457008497834725,0.006694081276068265,,-0.0070515451284862115,-0.006040994675558222,,,16.0,,,,0.9867526821503223,16.0,,,,,,-0.0763407417851612,-0.11837333313029622,comparison,,retrograde,retrograde,,,,1.9569953418280352e-05,,,,1.9457531231771067e-05,0.1819614999985788,2.675460414000554,,
,,,,,,,,,,,,,,,,,,5.0,,,,,,7.78125,10.046875,,,,,,critical,,,,,2.265625,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8.0,,,,,,3.71875,4.28125,,,,,,critical,,,,,0.5625,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,point,1,,,,,point,,,,,performance,,,,0.4244897697935812,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,volume,48,,,,,coarse,,,,,performance,,,,1.6934640301042236,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,volume,192,,,,,medium,,,,,performance,,,,6.446210290014278,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,volume,768,,,,,fine,,,,,performance,,,,26.037941119866446,,,,,,,,,,,
