model,parameter_set,field_path,H0_A_m,B_equivalent_T,Omega_rad_s,Ms_A_m,a_A_m,k_A_m,c,alpha,Hc_A_m,Mr_A_m,Mr_over_Ms,loop_area_J_m3_cycle,minor_loop_area_J_m3_cycle,rotational_loss_J_m3_cycle,mean_torque_density_proxy_J_m3,max_angle_lag_deg,path_increment_A_m,convergence_level,normalized_discrepancy,note
validation,synthetic_medium,path_convergence,15915.494309189535,0.02,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.7666315315423,24047.729904266514,0.01781313326241964,1353.4216449327857,nan,nan,nan,nan,125.0,N=800,nan,
validation,synthetic_medium,path_convergence,15915.494309189535,0.02,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.76681597148166,24047.739098255453,0.017813140072781817,1353.4326417107259,nan,nan,nan,nan,62.5,N=1600,nan,
validation,synthetic_medium,path_convergence,15915.494309189535,0.02,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.7667875427796,24047.739609751054,0.017813140451667448,1353.4354537134836,nan,nan,nan,nan,31.25,N=3200,nan,
reversible,chi_eff=3,alternating,15915.494309189535,0.02,0.01,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,,nan,instantaneous reversible equilibrium
tau_lag,tau=4ms,alternating,15915.494309189535,0.02,0.01,nan,nan,nan,nan,nan,0.6366197718582858,1.9098593140469697,1.123446655321747e-06,0.11999999980800002,nan,nan,nan,nan,nan,,nan,dynamic intercepts vanish with Omega
vector_ja,synthetic_medium,alternating,15915.494309189535,0.02,0.01,1350000.0,6000.0,400.0,0.2,5e-05,319.7656170004402,24047.666598482712,0.017813086369246455,1353.3992072164851,nan,nan,nan,nan,nan,,nan,same geometric path: rate independent
reversible,chi_eff=3,alternating,15915.494309189535,0.02,0.1,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,,nan,instantaneous reversible equilibrium
tau_lag,tau=4ms,alternating,15915.494309189535,0.02,0.1,nan,nan,nan,nan,nan,6.366197214380057,19.098590115253025,1.123446477367825e-05,1.1999998080000307,nan,nan,nan,nan,nan,,nan,dynamic intercepts vanish with Omega
vector_ja,synthetic_medium,alternating,15915.494309189535,0.02,0.1,1350000.0,6000.0,400.0,0.2,5e-05,319.7656170004402,24047.666598482712,0.017813086369246455,1353.3992072164851,nan,nan,nan,nan,nan,,nan,same geometric path: rate independent
reversible,chi_eff=3,alternating,15915.494309189535,0.02,1.0,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,,nan,instantaneous reversible equilibrium
tau_lag,tau=4ms,alternating,15915.494309189535,0.02,1.0,nan,nan,nan,nan,nan,63.66146794705171,190.98287598425867,0.00011234286822603451,11.999808003071951,nan,nan,nan,nan,nan,,nan,dynamic intercepts vanish with Omega
vector_ja,synthetic_medium,alternating,15915.494309189535,0.02,1.0,1350000.0,6000.0,400.0,0.2,5e-05,319.7656170004402,24047.666598482712,0.017813086369246455,1353.3992072164851,nan,nan,nan,nan,nan,,nan,same geometric path: rate independent
reversible,chi_eff=3,alternating,15915.494309189535,0.02,20.42,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,,nan,instantaneous reversible equilibrium
tau_lag,tau=4ms,alternating,15915.494309189535,0.02,20.42,nan,nan,nan,nan,nan,1295.6626739992992,3874.086284687351,0.0022788742851102065,243.41602022693513,nan,nan,nan,nan,nan,,nan,dynamic intercepts vanish with Omega
vector_ja,synthetic_medium,alternating,15915.494309189535,0.02,20.42,1350000.0,6000.0,400.0,0.2,5e-05,319.7656170004402,24047.666598482712,0.017813086369246455,1353.3992072164851,nan,nan,nan,nan,nan,,nan,same geometric path: rate independent
reversible,chi_eff=3,alternating,15915.494309189535,0.02,53.41,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,,nan,instantaneous reversible equilibrium
tau_lag,tau=4ms,alternating,15915.494309189535,0.02,53.41,nan,nan,nan,nan,nan,3325.149537989369,9755.306432586447,0.005738415548580263,612.9439804426166,nan,nan,nan,nan,nan,,nan,dynamic intercepts vanish with Omega
vector_ja,synthetic_medium,alternating,15915.494309189535,0.02,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.7656170004402,24047.666598482712,0.017813086369246455,1353.3992072164851,nan,nan,nan,nan,nan,,nan,same geometric path: rate independent
reversible,chi_eff=3,alternating,15915.494309189535,0.02,117.81,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,,nan,instantaneous reversible equilibrium
tau_lag,tau=4ms,alternating,15915.494309189535,0.02,117.81,nan,nan,nan,nan,nan,6784.4515613811145,18411.47014146453,0.010830276553802665,1156.826786764256,nan,nan,nan,nan,nan,,nan,dynamic intercepts vanish with Omega
vector_ja,synthetic_medium,alternating,15915.494309189535,0.02,117.81,1350000.0,6000.0,400.0,0.2,5e-05,319.7656170004402,24047.666598482712,0.017813086369246455,1353.3992072164851,nan,nan,nan,nan,nan,,nan,same geometric path: rate independent
