benchmark,case,gap_m,phase_rad,l,m,omega_rad_s,B_amplitude_T,Fx_N,Fy_N,Fz_N,taux_Nm,tauy_Nm,tauz_Nm,joule_power_W,stress_radius_over_a,n_mu,n_phi,static_diffusion_ratio,tau_lag_Nm,diffusion_tau_lag_ratio,volume_Fx_N,volume_Fy_N,volume_Fz_N,relative_error,spectral_weight,note
carousel_spectral_sum,gap_5mm,0.005,0.0,nan,nan,nan,nan,-0.0027668934158705063,-1.8583080784559251e-13,-0.4063163498755762,-1.270657853439531e-15,4.539776948681255e-15,1.6105363898087773e-16,nan,1.05,28,56,0.9999041269099032,nan,nan,nan,nan,nan,nan,nan,offline separable-spectrum sum; not transient simulation
carousel_static_bridge,gap_5mm,0.005,0.1308996938995747,nan,nan,0,0.02493481081679658,-0.017696068188130135,0.15541980106710346,-0.2894822463839879,-2.150553818900783e-13,-1.866876456226189e-14,-2.4562420225225763e-15,nan,1.05,28,56,nan,nan,nan,-0.017374692837911265,0.1519190624983316,-0.27863851258748945,0.03586531262608451,nan,l<=6 modal Maxwell stress vs static volume_demag
carousel_single_frequency,gap_5mm,0.005,0.1308996938995747,nan,nan,26.7,0.02493481081679658,-0.008847684340043231,0.07770725538471202,-0.1447360253071331,-1.0738159319434648e-13,-9.501251536187311e-15,-1.4010315638431121e-15,nan,1.05,28,56,0.9999650305297795,nan,nan,nan,nan,nan,nan,nan,one-frequency scale estimate; denominator is zero-frequency phasor
carousel_spectral_component,gap_5mm,0.005,0.1308996938995747,nan,nan,26.70353755552804,nan,-0.008265995594437928,0.07259841184582017,-0.1352203924700912,-1.0046339914144055e-13,-8.843660359909493e-15,-1.3291951181853995e-15,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.9342552653623881,weighted independent-frequency contribution
carousel_spectral_component,gap_5mm,0.005,0.1308996938995747,nan,nan,117.80972450968254,nan,-0.0002839463398331296,0.002494084591273525,-0.004645334718724106,-3.4478503215185657e-15,-3.0701559210250967e-16,-5.130108186942528e-17,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.032115672702713434,weighted independent-frequency contribution
carousel_spectral_component,gap_5mm,0.005,0.1308996938995747,nan,nan,171.2167996207386,nan,-0.00029708826186144023,0.0026098062984608967,-0.004860756098009773,-3.6046411262508e-15,-3.2114443375737345e-16,-4.97870708781515e-17,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.03362906193489845,weighted independent-frequency contribution
carousel_spectral_sum,gap_5mm,0.005,0.1308996938995747,nan,nan,nan,nan,-0.008847030196132496,0.07770230273555459,-0.14472648328682508,-1.075158905892099e-13,-9.471820385769377e-15,-1.4302832709329764e-15,nan,1.05,28,56,0.9998995717302196,nan,nan,nan,nan,nan,nan,nan,offline separable-spectrum sum; not transient simulation
carousel_static_bridge,gap_5mm,0.005,0.2617993877991494,nan,nan,0,0.016523377524331924,-0.013937326270488921,1.510996031903648e-05,-0.059047970174847024,3.865561782105704e-16,-1.985956986703991e-15,2.4685281961568663e-16,nan,1.05,28,56,nan,nan,nan,-0.01398973920914263,-0.0001449342164680079,-0.05970099518968984,0.010998184853396025,nan,l<=6 modal Maxwell stress vs static volume_demag
carousel_single_frequency,gap_5mm,0.005,0.2617993877991494,nan,nan,26.7,0.016523377524331924,-0.006968352352076452,7.554695683867243e-06,-0.02952265311445071,1.8669654630883175e-16,-1.0042121646166738e-15,3.7084851424125975e-17,nan,1.05,28,56,0.9999549123752974,nan,nan,nan,nan,nan,nan,nan,one-frequency scale estimate; denominator is zero-frequency phasor
carousel_spectral_component,gap_5mm,0.005,0.2617993877991494,nan,nan,26.70353755552804,nan,-0.0065102197989765605,7.058014148356948e-06,-0.02758169379025757,2.373861283555402e-16,-9.156983618191907e-16,-4.7954431788330074e-18,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.9342552653623881,weighted independent-frequency contribution
